                              signal_alias                              |                                                                                signal_name                          
 MAGNETICS/FLUX_LOOP/19/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=19]/timeTrace/@signalName,/string_1d, unique=38)
 MAGNETICS/FLUX_LOOP/19/IDENTIFIER                                      | EFITMAGXML2::put(value=19, type=string_1d, unique=39)
 MAGNETICS/FLUX_LOOP/20/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=20]/timeTrace/@signalName,/string_1d, unique=40)
 MAGNETICS/FLUX_LOOP/20/IDENTIFIER                                      | EFITMAGXML2::put(value=20, type=string_1d, unique=41)
 MAGNETICS/FLUX_LOOP/21/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=21]/timeTrace/@signalName,/string_1d, unique=42)
 MAGNETICS/FLUX_LOOP/21/IDENTIFIER                                      | EFITMAGXML2::put(value=21, type=string_1d, unique=43)
 MAGNETICS/FLUX_LOOP/22/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=22]/timeTrace/@signalName,/string_1d, unique=44)
 MAGNETICS/FLUX_LOOP/22/IDENTIFIER                                      | EFITMAGXML2::put(value=22, type=string_1d, unique=45)
 MAGNETICS/FLUX_LOOP/23/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=23]/timeTrace/@signalName,/string_1d, unique=46)
 MAGNETICS/FLUX_LOOP/23/IDENTIFIER                                      | EFITMAGXML2::put(value=23, type=string_1d, unique=47)
 MAGNETICS/FLUX_LOOP/24/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=24]/timeTrace/@signalName,/string_1d, unique=48)
 MAGNETICS/FLUX_LOOP/24/IDENTIFIER                                      | EFITMAGXML2::put(value=24, type=string_1d, unique=49)
 MAGNETICS/FLUX_LOOP/25/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=25]/timeTrace/@signalName,/string_1d, unique=50)
 MAGNETICS/FLUX_LOOP/25/IDENTIFIER                                      | EFITMAGXML2::put(value=25, type=string_1d, unique=51)
 MAGNETICS/FLUX_LOOP/26/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=26]/timeTrace/@signalName,/string_1d, unique=52)
 MAGNETICS/FLUX_LOOP/26/IDENTIFIER                                      | EFITMAGXML2::put(value=26, type=string_1d, unique=53)
 MAGNETICS/FLUX_LOOP/27/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=27]/timeTrace/@signalName,/string_1d, unique=54)
 MAGNETICS/FLUX_LOOP/27/IDENTIFIER                                      | EFITMAGXML2::put(value=27, type=string_1d, unique=55)
 MAGNETICS/FLUX_LOOP/28/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=28]/timeTrace/@signalName,/string_1d, unique=56)
 MAGNETICS/FLUX_LOOP/28/IDENTIFIER                                      | EFITMAGXML2::put(value=28, type=string_1d, unique=57)
 MAGNETICS/FLUX_LOOP/29/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=29]/timeTrace/@signalName,/string_1d, unique=58)
 MAGNETICS/FLUX_LOOP/29/IDENTIFIER                                      | EFITMAGXML2::put(value=29, type=string_1d, unique=59)
 MAGNETICS/FLUX_LOOP/30/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=30]/timeTrace/@signalName,/string_1d, unique=60)
 MAGNETICS/FLUX_LOOP/30/IDENTIFIER                                      | EFITMAGXML2::put(value=30, type=string_1d, unique=61)
 MAGNETICS/FLUX_LOOP/31/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=31]/timeTrace/@signalName,/string_1d, unique=62)
 MAGNETICS/FLUX_LOOP/31/IDENTIFIER                                      | EFITMAGXML2::put(value=31, type=string_1d, unique=63)
 MAGNETICS/FLUX_LOOP/32/NAME                                            | EFITMAGXML2::get(xmlfile=magnetics.xml, XPath=//fluxLoops/fluxLoop[@id=32]/timeTrace/@signalName,/string_1d, unique=64)
 MAGNETICS/FLUX_LOOP/32/IDENTIFIER                                      | EFITMAGXML2::put(value=32, type=string_1d, unique=65)
